UserId,GarageId,UserType
EXL_1569429819465,TX4276,Owner
EXL_1569431062769,IP0146,Owner
EXL_1569431134633,AF0708,Employee
EXL_1569431146924,TX4276,Employee
EXL_1569432034271,TX4276,Employee
EXL_1569432295030,TX4276,Employee
EXL_1569434212261,DW8851,Owner
EXL_1569438736165,AN6321,Owner
EXL_1569491945092,NI7197,Owner
EXL_1569505491672,TX4276,Employee
EXL_1569513392397,YZ3838,Owner
EXL_1569520497718,TX4276,Employee
EXL_1569521017740,TX4276,Employee
EXL_1569521084530,TX4276,Employee
EXL_1569521219598,FL8903,Owner
EXL_1569521320613,SR4063,Owner
EXL_1569855606475,YH8983,Owner
EXL_1569861369270,ZY0688,Owner
EXL_1569863345810,VY2396,Owner
EXL_1569864181951,NM2255,Owner
EXL_1569867483497,XA5692,Owner
EXL_1569871265830,SH8842,Owner
EXL_1569919442289,EY0273,Owner
EXL_1569921668308,AF0708,Owner
EXL_1569922413703,TE0162,Owner
EXL_1569922985109,IA4203,Owner
EXL_1569928027697,HZ8711,Owner
EXL_1569937189897,DS9792,Owner
EXL_1569940638677,TF5803,Owner
EXL_1569940677440,MC2580,Owner
EXL_1569941239614,XT8304,Owner
EXL_1569941341853,MC2580,Employee
EXL_1569942582305,NM8426,Owner
EXL_1569943806069,FX8416,Owner
EXL_1569952707129,CE7250,Owner
EXL_1569952716670,VT3860,Owner
EXL_1569964718733,PX2799,Owner
EXL_1570014418843,GO1086,Owner
EXL_1570017799372,PS7277,Owner
EXL_1570020582508,TZ3271,Owner
EXL_1570020980989,FS3726,Owner
EXL_1570023003748,VZ4931,Owner
EXL_1570023445381,WJ1242,Owner
EXL_1570024989612,LY0766,Owner
EXL_1570026195279,YH9971,Owner
EXL_1570027636018,RL4674,Owner
EXL_1570028101532,WH1395,Owner
EXL_1570029454315,FM8613,Owner
EXL_1570029999058,DS9238,Owner
EXL_1570030573766,VS6244,Employee
EXL_1570030703175,YQ6500,Owner
EXL_1570038755680,XT8304,Employee
EXL_1570042090492,TT8224,Owner
EXL_1570046071741,VJ5781,Owner
EXL_1570047988764,HV9610,Owner
EXL_1570098780767,SR2660,Owner
