Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,New_Volume(L),Material Name,Points
6/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145577,11676,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",23352
20/12/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145577,5768,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",11536
11/8/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143160,11088,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",22176
10/3/2023,A,ERW_AMBP2020110291,Reseller,Nakhon Ratchasima,143160,2912,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",5824
10/3/2023,A,ERW_AMBP2020110291,Reseller,Nakhon Ratchasima,143160,7168,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",14336
31/5/2023,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,145438,112,"Mobil Delvac Legend 20W-50 Standard Defense, 1X20L.",112
31/5/2023,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,145500,8180,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",16360
18/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145498,7840,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",15680
19/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145498,4500,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",9000
25/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145500,2420,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",4840
20/12/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145497,10360,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",20720
31/3/2023,C,ERW_C08P2020090096,Reseller,Phetchabun,145474,5376,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",10752
19/4/2023,C,ERW_C08P2020090096,Reseller,Phetchabun,145497,13160,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",26320
23/3/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,141539,7672,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",15344
17/5/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,10612,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",21224
30/5/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,7112,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",14224
6/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145474,11032,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",22064
21/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145474,8596,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",17192
26/6/2023,A,ERW_AMBP2020110384,Retails,Rayong,145577,11536,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",23072
19/4/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143877,3724,"Mobil Super All-In-One Protection Turbospeed 5W-30, 4X7L.",3724
24/2/2023,A,ERW_ADG22021040108,Retails,Khon Kaen,143160,6188,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",12376
10/10/2023,A,ERW_AMBP2020110203,Retails,Trat,143160,168,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",336
21/6/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143160,7420,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",14840
10/10/2023,A,ERW_AMBP2020110291,Reseller,Nakhon Ratchasima,145497,5740,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",11480
11/7/2023,A,ERW_AMBP2020110291,Reseller,Nakhon Ratchasima,143160,12880,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",25760
28/10/2023,C,ERW_C08P2020090096,Reseller,Phetchabun,145497,4928,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",9856
31/5/2023,B,ERW_BM2U2020110142,Reseller,Suphan Buri,145497,11480,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",22960
21/3/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,143629,196,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",392
12/5/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143629,1680,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",3360
7/6/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143629,476,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",952
7/6/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145577,9548,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",19096
9/6/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,143160,1204,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",2408
20/2/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,143160,7028,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",14056
25/4/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,143160,5740,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",11480
14/1/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,143160,13356,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",26712
13/3/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145474,3472,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",6944
8/5/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143160,5684,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",11368
12/6/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145474,11704,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",23408
19/9/2023,A,ERW_AMBP2020110203,Retails,Trat,143160,2492,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",4984
30/8/2023,A,ERW_AMBP2020110203,Retails,Trat,143160,112,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",224
21/6/2023,A,ERW_AMBP2020110203,Retails,Trat,143160,9632,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",19264
18/8/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,9800,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",19600
29/9/2023,B,ERW_BM2U2020110005,Reseller,Bangkok,145497,4284,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",8568
23/12/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,145497,8064,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",16128
14/12/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,145497,8960,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",17920
29/9/2023,B,ERW_B4642020110006,Reseller,Kanchanaburi,145497,10304,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",20608
27/11/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145577,7644,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",15288
4/9/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145474,924,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",1848
10/1/2023,A,ERW_AMBP2020110523,Retails,Chon Buri,143160,12348,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",24696
16/10/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,145497,9800,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",19600
2/5/2023,A,ERW_AMBP2020110203,Retails,Trat,143160,4788,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",9576
13/7/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145575,13356,"Mobil Super Everyday Protection Turbospeed 15W-40, 4x7L.",13356
8/8/2023,A,ERW_AMBP2020110202,Retails,Chachoengsao,143160,280,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",560
25/9/2023,A,ERW_AMBP2020110384,Retails,Rayong,145474,12880,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",25760
21/4/2023,A,ERW_AMBP2020110384,Retails,Rayong,145474,28,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",56
26/6/2023,A,ERW_AMBP2020110384,Retails,Rayong,145474,13104,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",26208
17/1/2023,A,ERW_AMBP2020110529,Retails,Chon Buri,143629,5096,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",10192
29/8/2023,D,ERW_DBG72020110038,Reseller,Phuket,145577,4284,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",8568
4/5/2023,D,ERW_DBG72020110038,Reseller,Phuket,143629,56,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",112
2/2/2023,D,ERW_DBG72020110038,Reseller,Phuket,143629,7644,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",15288
13/2/2023,A,ERW_AMBP2020110202,Retails,Chachoengsao,142939,6696,"Mobil Delvac Super 1400 15W‐40, 1X18LT.",13392
18/9/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145497,6076,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",12152
6/12/2023,A,ERW_ADG22021040108,Retails,Khon Kaen,145498,3660,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",7320
29/8/2023,A,ERW_ADG22021040108,Retails,Khon Kaen,145498,3560,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",7120
17/5/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145500,7640,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",15280
23/12/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145500,1440,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",2880
27/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145570,8280,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",16560
24/1/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143507,9620,"Mobil Super 2000 10W-40, 4X4+1L.",19240
9/2/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143507,5820,"Mobil Super 2000 10W-40, 4X4+1L.",11640
15/9/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,143160,12684,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",25368
19/12/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145497,1792,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",3584
21/11/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145497,10360,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",20720
21/11/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145497,6076,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",12152
26/6/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,143160,7196,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",14392
19/12/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145497,756,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",1512
15/12/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145497,3052,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",6104
28/6/2023,A,ERW_ADG22021040108,Retails,Khon Kaen,143160,3584,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",7168
11/8/2023,A,ERW_ADG22021040108,Retails,Khon Kaen,143160,10640,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",21280
28/9/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,143160,8848,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",17696
16/8/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145498,6412,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",12824
20/12/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145474,7364,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",14728
28/6/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145570,9100,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",18200
19/7/2023,A,ERW_AMBP2020110218,Retails,Nakhon Ratchasima,145577,11844,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",23688
25/9/2023,A,ERW_AMBP2020110384,Retails,Rayong,145577,4928,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",9856
23/12/2023,A,ERW_AMBP2020110384,Retails,Rayong,145577,6720,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",13440
23/6/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145577,4116,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",8232
6/9/2023,C,ERW_C08P2020090096,Reseller,Phetchabun,145497,868,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",1736
26/7/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,840,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",1680
8/4/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,141539,3360,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",6720
4/5/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,4620,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",9240
10/8/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,12712,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",25424
30/6/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,10416,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",20832
17/5/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,142939,8720,"Mobil Delvac Super 1400 15W‐40, 1X18LT.",17440
1/3/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,142930,882,"Mobil Delvac MX 15W-40, 1X18L.",1764
29/3/2023,B,ERW_B4642020110006,Reseller,Kanchanaburi,141539,7196,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",14392
31/5/2023,B,ERW_BM2U2020110035,Reseller,Suphan Buri,145500,2920,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",5840
7/4/2023,A,ERW_AMBP2020110030,Retails,Bangkok,143160,10892,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",21784
21/3/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145474,13916,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",27832
15/12/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145497,308,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",616
23/12/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145474,4900,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",9800
27/9/2023,A,ERW_AMBP2020110202,Retails,Chachoengsao,145498,7020,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",14040
6/12/2023,A,ERW_AMBP2020110202,Retails,Chachoengsao,145498,1400,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",2800
30/10/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145500,3976,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",7952
30/10/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145498,2520,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",5040
