Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,Material Name,New_Volume(L)
6/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,11676
20/12/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,5768
11/8/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,11088
10/3/2023,A,ERW_AMBP2020110291,Reseller,Nakhon Ratchasima,143160,MOBIL DELVAC SUPER 1400 15W-40 4X6+1/CAR,2912
10/3/2023,A,ERW_AMBP2020110291,Reseller,Nakhon Ratchasima,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,7168
31/5/2023,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,145438,"M-Del Legend 20W50 S Def,20L",112
31/5/2023,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,145500,"M-Del Modern 15W40 S Def,1/20",8180
18/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145498,M DEL LEGEND CH-4 15W-40 HD. 20L/PAIL,7840
19/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145498,M DEL LEGEND CH-4 15W-40 HD. 20L/PAIL,4500
25/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145500,M DEL MODERN 15W-40 S DEFENS 20L/PAIL,2420
20/12/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,10360
31/3/2023,C,ERW_C08P2020090096,Reseller,Phetchabun,145474,M DEL MOD 15W-40 S DEFENSE CTN 4X7L: TH,5376
19/4/2023,C,ERW_C08P2020090096,Reseller,Phetchabun,145497,M DEL LEGEND CH-4 15W-40 H.D. CTN4X7L:TH,13160
23/3/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,141539,"MOBIL DELVAC SUPER 1400-15W40 ,4/6+1",7672
17/5/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,"M-Del Legend 15W40(CH-4) ,4/7",10612
30/5/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,"M-Del Legend 15W40(CH-4) ,4/7",7112
6/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,11032
21/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,8596
26/6/2023,A,ERW_AMBP2020110384,Retails,Rayong,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,11536
19/4/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143877,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,3724
24/2/2023,A,ERW_ADG22021040108,Retails,Khon Kaen,143160,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,6188
10/10/2023,A,ERW_AMBP2020110203,Retails,Trat,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,168
21/6/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,7420
10/10/2023,A,ERW_AMBP2020110291,Reseller,Nakhon Ratchasima,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,5740
11/7/2023,A,ERW_AMBP2020110291,Reseller,Nakhon Ratchasima,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,12880
28/10/2023,C,ERW_C08P2020090096,Reseller,Phetchabun,145497,M DEL LEGEND CH-4 15W-40 H.D. CTN4X7L:TH,4928
31/5/2023,B,ERW_BM2U2020110142,Reseller,Suphan Buri,145497,"M-Del Legend 15W40(CH-4) ,4/7",11480
21/3/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,143629,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,196
12/5/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143629,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,1680
7/6/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143629,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,476
7/6/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,9548
9/6/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,1204
20/2/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,143160,MOBIL DELVAC SUPER 1400 15W-40 4X6+1/CAR,7028
25/4/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,5740
14/1/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,143160,M-DELVAC SUPER 1400 15W-40 4X6+1 PROMO,13356
13/3/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,3472
8/5/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,5684
12/6/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,11704
19/9/2023,A,ERW_AMBP2020110203,Retails,Trat,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,2492
30/8/2023,A,ERW_AMBP2020110203,Retails,Trat,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,112
21/6/2023,A,ERW_AMBP2020110203,Retails,Trat,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,9632
18/8/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,"M-Del Legend 15W40(CH-4) ,4/7",9800
29/9/2023,B,ERW_BM2U2020110005,Reseller,Bangkok,145497,"M-Del Legend 15W40(CH-4) ,4/7",4284
23/12/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,8064
14/12/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,8960
29/9/2023,B,ERW_B4642020110006,Reseller,Kanchanaburi,145497,"M-Del Legend 15W40(CH-4) ,4/7",10304
27/11/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,7644
4/9/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,924
10/1/2023,A,ERW_AMBP2020110523,Retails,Chon Buri,143160,M-DELVAC SUPER 1400 15W-40 4X6+1 PROMO,12348
16/10/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,9800
2/5/2023,A,ERW_AMBP2020110203,Retails,Trat,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,4788
13/7/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145575,M SUP EVD ProtectionTBS 15W-40 4x7L/CAR,13356
8/8/2023,A,ERW_AMBP2020110202,Retails,Chachoengsao,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,280
25/9/2023,A,ERW_AMBP2020110384,Retails,Rayong,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,12880
21/4/2023,A,ERW_AMBP2020110384,Retails,Rayong,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,28
26/6/2023,A,ERW_AMBP2020110384,Retails,Rayong,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,13104
17/1/2023,A,ERW_AMBP2020110529,Retails,Chon Buri,143629,MOBIL SUPER 2000 TBS10W-30 4X7L:TH,5096
29/8/2023,D,ERW_DBG72020110038,Reseller,Phuket,145577,MOBIL SUPER FRICTION FIGHTER TURBOSPEED10W-30 CTN4X7L:TH,4284
4/5/2023,D,ERW_DBG72020110038,Reseller,Phuket,143629,MOBIL SUPER 2000 TBS10W-30 4X7L:TH,56
2/2/2023,D,ERW_DBG72020110038,Reseller,Phuket,143629,MOBIL SUPER 2000 TBS10W-30 4X7L:TH,7644
13/2/2023,A,ERW_AMBP2020110202,Retails,Chachoengsao,142939,M DELVAC SUPER 1400 15W-40 PAIL 18L:TH,6696
18/9/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,6076
6/12/2023,A,ERW_ADG22021040108,Retails,Khon Kaen,145498,M DEL LEGEND CH-4 15W-40 HD. 20L/PAIL,3660
29/8/2023,A,ERW_ADG22021040108,Retails,Khon Kaen,145498,M DEL LEGEND CH-4 15W-40 HD. 20L/PAIL,3560
17/5/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145500,M DEL MODERN 15W-40 S DEFENS 20L/PAIL,7640
23/12/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145500,M DEL MODERN 15W-40 S DEFENS 20L/PAIL,1440
27/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145570,M SUP Friction Fighter 10W-40 4x4+1L/CAR,8280
24/1/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143507,MOBIL SUPER 2000 10W-40 CTN 4X4+1L:TH,9620
9/2/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143507,MOBIL SUPER 2000 10W-40 CTN 4X4+1L:TH,5820
15/9/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,12684
19/12/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,1792
21/11/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,10360
21/11/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,6076
26/6/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,7196
19/12/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,756
15/12/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,3052
28/6/2023,A,ERW_ADG22021040108,Retails,Khon Kaen,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,3584
11/8/2023,A,ERW_ADG22021040108,Retails,Khon Kaen,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,10640
28/9/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,8848
16/8/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145498,M DEL LEGEND CH-4 15W-40 HD. 20L/PAIL,6412
20/12/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,7364
28/6/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145570,M SUP Friction Fighter 10W-40 4x4+1L/CAR,9100
19/7/2023,A,ERW_AMBP2020110218,Retails,Nakhon Ratchasima,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,11844
25/9/2023,A,ERW_AMBP2020110384,Retails,Rayong,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,4928
23/12/2023,A,ERW_AMBP2020110384,Retails,Rayong,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,6720
23/6/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,4116
6/9/2023,C,ERW_C08P2020090096,Reseller,Phetchabun,145497,M DEL LEGEND CH-4 15W-40 H.D. CTN4X7L:TH,868
26/7/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,"M-Del Legend 15W40(CH-4) ,4/7",840
8/4/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,141539,"MOBIL DELVAC SUPER 1400-15W40 ,4/6+1",3360
4/5/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,"M-Del Legend 15W40(CH-4) ,4/7",4620
10/8/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,"M-Del Legend 15W40(CH-4) ,4/7",12712
30/6/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,"M-Del Legend 15W40(CH-4) ,4/7",10416
17/5/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,142939,MOBIL DELVAC SUPER 1400 15W-40 18L/PAIL,8720
1/3/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,142930,MOBIL DELVAC MX 15W-40 18L/PAIL,882
29/3/2023,B,ERW_B4642020110006,Reseller,Kanchanaburi,141539,"MOBIL DELVAC SUPER 1400-15W40 ,4/6+1",7196
31/5/2023,B,ERW_BM2U2020110035,Reseller,Suphan Buri,145500,"M-Del Modern 15W40 S Def,1/20",2920
7/4/2023,A,ERW_AMBP2020110030,Retails,Bangkok,143160,MOBIL DELVAC SUPER 1400 15W-40 4X6+1/CAR,10892
21/3/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,13916
15/12/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,308
23/12/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,4900
27/9/2023,A,ERW_AMBP2020110202,Retails,Chachoengsao,145498,M DEL LEGEND CH-4 15W-40 HD. 20L/PAIL,7020
6/12/2023,A,ERW_AMBP2020110202,Retails,Chachoengsao,145498,M DEL LEGEND CH-4 15W-40 HD. 20L/PAIL,1400
30/10/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145500,M DEL MODERN 15W-40 S DEFENS 20L/PAIL,3976
30/10/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145498,M DEL LEGEND CH-4 15W-40 HD. 20L/PAIL,2520
26/8/2023,B,ERW_BM2U2020110030,Reseller,Ratchaburi,145577,"M-Super F.F TBS 10W30 ,4/7",4340
