OwnerId,Postcode,Province,District ,Distributor
EXL_1692444744991,72000,สุพรรณบุรี,เขตศรีประจันต์,B
EXL_1651745414431,57120,เชียงราย,เขตพาน,C
EXL_1574261647294,10530,กรุงเทพมหานคร,เขตหนองจอก,A
EXL_1573728830730,10270,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1594802722891,30000,นครราชสีมา,เขตเมืองนครราชสีมา,A
EXL_1572270650549,65000,พิษณุโลก,เขตเมืองพิษณุโลก,C
EXL_1576516380280,10310,กรุงเทพมหานคร,เขตวังทองหลาง,A
EXL_1570875310144,21130,ระยอง,เขตบ้านฉาง,A
EXL_1612798302020,20150,ชลบุรี,เขตบางละมุง,A
EXL_1591808125099,10310,กรุงเทพมหานคร,เขตห้วยขวาง,A
EXL_1581515852731,57260,เชียงราย,เขตเวียงป่าเป้า,C
EXL_1665080693394,10510,กรุงเทพมหานคร,เขตมีนบุรี,A
EXL_1595518209414,12120,ปทุมธานี,เขตคลองหลวง,A
EXL_1584978653797,10530,กรุงเทพมหานคร,เขตหนองจอก,A
EXL_1572957150641,20230,ชลบุรี,เขตศรีราชา,A
EXL_1602260341217,50120,เชียงใหม่,เขตสันป่าตอง,C
EXL_1593085555069,10600,กรุงเทพมหานคร,เขตคลองสาน,A
EXL_1573823347645,40250,ขอนแก่น,เขตอุบลรัตน์,A
EXL_1572873671506,65160,พิษณุโลก,เขตวัดโบสถ์,C
EXL_1599746962653,10130,สมุทรปราการ,เขตพระประแดง,A
EXL_1573136981689,20140,ชลบุรี,เขตพนัสนิคม,A
EXL_1571838962877,83110,ภูเก็ต,เขตถลาง,D
EXL_1580295848861,30160,นครราชสีมา,เขตโนนสูง,A
EXL_1572003147827,57140,เชียงราย,เขตเชียงของ,C
EXL_1571744425411,57340,เชียงราย,เขตขุนตาล,C
EXL_1573816706547,10150,กรุงเทพมหานคร,เขตบางบอน,A
EXL_1610445259932,20170,ชลบุรี,เขตบ้านบึง,A
EXL_1573218433627,18230,สระบุรี,เขตหนองแค,A
EXL_1595417391739,10230,กรุงเทพมหานคร,เขตคันนายาว,A
EXL_1603278890203,74000,สมุทรสาคร,เขตเมืองสมุทรสาคร,B
EXL_1585046907903,11150,นนทบุรี,เขตไทรน้อย,A
EXL_1690974579235,50220,เชียงใหม่,เขตดอยสะเก็ด,C
EXL_1600177059866,84160,สุราษฎร์ธานี,เขตกาญจนดิษฐ์,D
EXL_1577346519231,93000,พัทลุง,เขตเมืองพัทลุง,D
EXL_1576169646742,20140,ชลบุรี,เขตพนัสนิคม,A
EXL_1594743367472,20170,ชลบุรี,เขตบ้านบึง,A
EXL_1570111967692,10250,กรุงเทพมหานคร,เขตประเวศ,A
EXL_1593794187786,50130,เชียงใหม่,เขตสันกำแพง,C
EXL_1572443017097,75120,สมุทรสงคราม,เขตบางคนที,B
EXL_1590668472464,84130,สุราษฎร์ธานี,เขตพุนพิน,D
EXL_1571668863458,62150,กำแพงเพชร,เขตไทรงาม,C
EXL_1703070831846,60140,นครสวรรค์,เขตตาคลี,C
EXL_1571414605940,53000,อุตรดิตถ์,เขตเมืองอุตรดิตถ์,C
EXL_1574949921162,10140,กรุงเทพมหานคร,เขตราษฎร์บูรณะ,A
EXL_1594749708519,23110,ตราด,เขตคลองใหญ่,A
EXL_1573031910229,20000,ชลบุรี,เขตเมืองชลบุรี,A
EXL_1581083156469,17000,ชัยนาท,เขตเมืองชัยนาท,A
EXL_1581517835168,10280,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1590503256134,73150,นครปฐม,เขตดอนตูม,B
EXL_1596811173528,11110,นนทบุรี,เขตบางบัวทอง,A
EXL_1680603061736,70130,ราชบุรี,เขตดำเนินสะดวก,B
EXL_1570189006970,10250,กรุงเทพมหานคร,เขตประเวศ,A
EXL_1573384465414,11130,นนทบุรี,เขตบางกรวย,A
EXL_1580483569609,10280,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1662561342146,27000,สระแก้ว,เขตเมืองสระแก้ว,A
EXL_1582199479662,12130,ปทุมธานี,เขตธัญบุรี,A
EXL_1594238595616,10310,กรุงเทพมหานคร,เขตห้วยขวาง,A
EXL_1649433144102,60150,นครสวรรค์,เขตลาดยาว,C
EXL_1583758128271,80240,นครศรีธรรมราช,เขตทุ่งใหญ่,D
EXL_1689760868177,13270,พระนครศรีอยุธยา,เขตบางซ้าย,A
EXL_1570459964615,50000,เชียงใหม่,เขตเมืองเชียงใหม่,C
EXL_1582118969577,93110,พัทลุง,เขตควนขนุน,D
EXL_1703689070951,50240,เชียงใหม่,เขตจอมทอง,C
EXL_1602067715460,84000,สุราษฎร์ธานี,เขตเมืองสุราษฎร์ธานี,D
EXL_1621952940859,20150,ชลบุรี,เขตบางละมุง,A
EXL_1637150402428,80120,นครศรีธรรมราช,เขตสิชล,D
EXL_1593343493392,10520,กรุงเทพมหานคร,เขตลาดกระบัง,A
EXL_1570196952566,10100,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,A
EXL_1578571025000,83120,ภูเก็ต,เขตกะทู้,D
EXL_1571308106213,20250,ชลบุรี,เขตสัตหีบ,A
EXL_1593000713158,40210,ขอนแก่น,เขตหนองเรือ,A
EXL_1587465287394,22160,ระยอง,เขตแกลง,A
EXL_1577112395426,10510,กรุงเทพมหานคร,เขตคลองสามวา,A
EXL_1583946983192,10270,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1585136044367,11140,นนทบุรี,เขตบางใหญ่,A
EXL_1571588766657,50140,เชียงใหม่,เขตสารภี,C
EXL_1574774934120,50000,เชียงใหม่,เขตเมืองเชียงใหม่,C
EXL_1589358254977,11120,นนทบุรี,เขตปากเกร็ด,A
EXL_1572968442774,33120,ศรีสะเกษ,เขตอุทุมพรพิสัย,A
EXL_1614616111611,73130,นครปฐม,เขตบางเลน,B
EXL_1569438736165,10250,กรุงเทพมหานคร,เขตประเวศ,A
EXL_1630597756324,50140,เชียงใหม่,เขตสารภี,C
EXL_1573569830869,10230,กรุงเทพมหานคร,เขตบึงกุ่ม,A
EXL_1673966647086,10510,กรุงเทพมหานคร,เขตคลองสามวา,A
EXL_1637243941266,20220,ชลบุรี,เขตบ้านบึง,A
EXL_1649181630711,,ฉะเชิงเทรา,เขตเมืองฉะเชิงเทรา,A
EXL_1626358470517,34310,อุบลราชธานี,เขตวารินชำราบ,A
EXL_1582114495595,12130,ปทุมธานี,เขตธัญบุรี,A
EXL_1572007722342,72120,สุพรรณบุรี,เขตเดิมบางนางบวช,B
EXL_1574168213477,10140,กรุงเทพมหานคร,เขตทุ่งครุ,A
EXL_1594134376245,30140,นครราชสีมา,เขตสีคิ้ว,A
EXL_1573746506586,41330,อุดรธานี,เขตเมืองอุดรธานี,A
EXL_1583337978956,10540,สมุทรปราการ,เขตบางพลี,A
EXL_1573123881183,18140,สระบุรี,เขตหนองแค,A
EXL_1633809035750,20230,ชลบุรี,เขตศรีราชา,A
EXL_1637678565697,30310,นครราชสีมา,เขตเมืองนครราชสีมา,A
EXL_1572883712082,10250,กรุงเทพมหานคร,เขตประเวศ,A
EXL_1575027898390,10560,สมุทรปราการ,เขตบางบ่อ,A
EXL_1575458711456,57130,เชียงราย,เขตแม่สาย,C
EXL_1582804954385,30310,นครราชสีมา,เขตเมืองนครราชสีมา,A
EXL_1657555803230,64000,สุโขทัย,เขต,C
EXL_1616950411722,10520,กรุงเทพมหานคร,เขตลาดกระบัง,A
EXL_1648216116779,58130,เชียงใหม่,เขตปาย,C
EXL_1616236253355,55160,น่าน,เขตเชียงกลาง,C
EXL_1614089181604,67120,เพชรบูรณ์,เขตหล่มเก่า,C
EXL_1602077819743,84000,สุราษฎร์ธานี,เขตเมืองสุราษฎร์ธานี,D
EXL_1571924525749,21140,ระยอง,เขตศรีราชา,A
EXL_1576929995066,16130,สิงห์บุรี,เขตบางระจัน,A
EXL_1591108835691,10270,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1617897869722,76120,เพชรบุรี,เขตชะอำ,B
EXL_1576674424993,34000,อุบลราชธานี,เขตเมืองอุบลราชธานี,A
EXL_1571399378613,50170,เชียงใหม่,เขตเชียงดาว,C
EXL_1579266366597,82110,พังงา,เขตตะกั่วป่า,D
EXL_1600894438824,83000,พังงา,เขตเมืองภูเก็ต,D
EXL_1604581397529,66120,พิจิตร,เขตบางมูลนาก,C
EXL_1573295908746,10120,กรุงเทพมหานคร,เขตสาทร,A
EXL_1589383715843,22000,จันทบุรี,เขตเมืองจันทบุรี,A
EXL_1579278447555,84000,สุราษฎร์ธานี,เขตเมืองสุราษฎร์ธานี,D
EXL_1674579087719,50000,เชียงใหม่,เขตเมืองเชียงใหม่,C
EXL_1570638566144,60000,นครสวรรค์,เขตเมืองนครสวรรค์,C
EXL_1585128566833,11110,นนทบุรี,เขตบางบัวทอง,A
EXL_1579003493716,21140,ระยอง,เขตปลวกแดง,A
EXL_1580744061128,10510,กรุงเทพมหานคร,เขตมีนบุรี,A
EXL_1596623536701,11110,นนทบุรี,เขตบางบัวทอง,A
EXL_1570549270704,77180,ประจวบคีรีขันธ์,เขตสามร้อยยอด,B
EXL_1650446398157,56140,พะเยา,เขตปง,C
EXL_1580911642768,57150,เชียงราย,เขตเชียงแสน,C
EXL_1573224629585,60150,นครสวรรค์,เขตแม่เปิน,C
EXL_1573910489772,57120,เชียงราย,เขตพาน,C
EXL_1573744115834,77130,ประจวบคีรีขันธ์,เขตทับสะแก,B
EXL_1571751021697,20110,ชลบุรี,เขตศรีราชา,A
EXL_1583340053549,81140,กระบี่,เขตเขาพนม,D
EXL_1579534401403,10560,สมุทรปราการ,เขตบางบ่อ,A
EXL_1581520000320,21140,ระยอง,เขตปลวกแดง,A
EXL_1571924016062,13250,พระนครศรีอยุธยา,เขตบางบาล,A
EXL_1698174329424,73110,นครปฐม,เขตสามพราน,B
EXL_1595509775960,60180,นครสวรรค์,เขตบรรพตพิสัย,C
EXL_1571925791426,10530,กรุงเทพมหานคร,เขตหนองจอก,A
EXL_1572699293999,57000,เชียงราย,เขตเมืองเชียงราย,C
EXL_1570802549497,57180,เชียงราย,เขตแม่สรวย,C
EXL_1584118402624,23120,ตราด,เขตแหลมงอบ,A
EXL_1570202647597,62000,กำแพงเพชร,เขตเมืองกำแพงเพชร,C
EXL_1576927591632,13110,พระนครศรีอยุธยา,เขตเสนา,A
EXL_1609946216521,50140,เชียงใหม่,เขตสารภี,C
EXL_1616246157536,38000,บึงกาฬ,เขตเมืองบึงกาฬ,A
EXL_1654858405618,10250,กรุงเทพมหานคร,เขตสวนหลวง,A
EXL_1581762798174,50290,เชียงใหม่,เขตสันทราย,C
EXL_1576752106553,10240,กรุงเทพมหานคร,เขตสะพานสูง,A
EXL_1612531992553,10270,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1595514971905,10312,กรุงเทพมหานคร,เขตวังทองหลาง,A
EXL_1602843356314,84190,สุราษฎร์ธานี,เขตเวียงสระ,D
EXL_1594117526458,30130,สระบุรี,เขตปากช่อง,A
EXL_1594305092208,75000,สมุทรสงคราม,เขตเมืองสมุทรสงคราม,B
EXL_1571746125414,10210,กรุงเทพมหานคร,เขตดอนเมือง,A
EXL_1635861577724,10280,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1575900098946,10230,กรุงเทพมหานคร,เขตบึงกุ่ม,A
EXL_1574761360225,20150,ชลบุรี,เขตบางละมุง,A
EXL_1594230407464,30190,นครราชสีมา,เขตโชคชัย,A
EXL_1583941550519,10540,สมุทรปราการ,เขตบางพลี,A
EXL_1573041805964,52150,ลำปาง,เขตแม่ทะ,C
EXL_1676310628594,10170,กรุงเทพมหานคร,เขตทวีวัฒนา,B
EXL_1651337220977,20150,ชลบุรี,เขตบางละมุง,A
EXL_1594650316643,92130,ตรัง,เขตห้วยยอด,D
EXL_1573221774094,18150,สระบุรี,เขตวิหารแดง,A
EXL_1570710838209,10170,กรุงเทพมหานคร,เขตตลิ่งชัน,B
EXL_1637582205449,50000,เชียงใหม่,เขตเมืองเชียงใหม่,C
EXL_1581072008665,50220,เชียงใหม่,เขตดอยสะเก็ด,C
EXL_1644612687126,57180,เชียงราย,เขตแม่สรวย,C
EXL_1634396692999,83100,ภูเก็ต,เขตเมืองภูเก็ต,D
EXL_1573048718919,74000,สมุทรสาคร,เขตเมืองสมุทรสาคร,B
EXL_1587226297548,90000,สงขลา,เขตเมืองสงขลา,D
EXL_1570798564937,22000,จันทบุรี,เขตเมืองจันทบุรี,A
EXL_1612876508473,10260,กรุงเทพมหานคร,เขตบางนา,A
EXL_1587998003694,10160,กรุงเทพมหานคร,เขตหนองแขม,B
EXL_1583591140566,12130,ปทุมธานี,เขตลำลูกกา,A
EXL_1583763107568,20170,ชลบุรี,เขตบ้านบึง,A
EXL_1575900069212,10500,กรุงเทพมหานคร,เขตบางรัก,A
EXL_1581693533125,21000,ระยอง,เขตเมืองระยอง,A
EXL_1584976344075,60120,นครสวรรค์,เขตชุมแสง,C
EXL_1573744836492,10260,กรุงเทพมหานคร,เขตบางนา,A
EXL_1625151571181,10140,กรุงเทพมหานคร,เขตทุ่งครุ,A
EXL_1640174734627,34000,อุบลราชธานี,เขตเมืองอุบลราชธานี,A
EXL_1647431994981,13150,พระนครศรีอยุธยา,เขตมหาราช,A
EXL_1677494854860,10280,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1668447914330,77110,ประจวบคีรีขันธ์,เขตหัวหิน,B
EXL_1594140556505,10310,กรุงเทพมหานคร,เขตห้วยขวาง,A
EXL_1582896536886,20170,ชลบุรี,เขตบ้านบึง,A
EXL_1582888725976,20150,ชลบุรี,เขตบางละมุง,A
EXL_1593704690889,20140,ชลบุรี,เขตพนัสนิคม,A
EXL_1689933585386,51120,ลำพูน,เขตป่าซาง,C
EXL_1587389226718,10170,กรุงเทพมหานคร,เขตตลิ่งชัน,B
EXL_1576587181605,11000,นนทบุรี,เขต,A
EXL_1576081661304,10230,กรุงเทพมหานคร,เขตคันนายาว,A
EXL_1599659774755,83110,ภูเก็ต,เขตถลาง,D
EXL_1584114187388,10540,สมุทรปราการ,เขตบางพลี,A
EXL_1675960214094,22120,จันทบุรี,เขตท่าใหม่,A
EXL_1644851765337,30000,นครราชสีมา,เขตเมืองนครราชสีมา,A
EXL_1573651483923,10540,สมุทรปราการ,เขตบางพลี,A
EXL_1621003831192,54000,แพร่,เขตเมืองแพร่,C
EXL_1581692566881,70130,ราชบุรี,เขตดำเนินสะดวก,B
EXL_1615135914398,41000,อุดรธานี,เขตเมืองอุดรธานี,A
EXL_1574088602929,12120,ปทุมธานี,เขตคลองหลวง,A
EXL_1642158167929,20170,ชลบุรี,เขตบ้านบึง,A
EXL_1580906330955,10250,กรุงเทพมหานคร,เขตสวนหลวง,A
EXL_1676559490852,16000,สิงห์บุรี,เขตเมืองสิงห์บุรี,A
EXL_1594212997089,30110,นครราชสีมา,เขตพิมาย,A
EXL_1582804045956,10270,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1582718260750,10250,กรุงเทพมหานคร,เขตประเวศ,A
EXL_1606393999457,67150,เพชรบูรณ์,เขตชนแดน,C
EXL_1616417743264,24000,ฉะเชิงเทรา,เขตเมืองฉะเชิงเทรา,A
EXL_1687349249401,31000,บุรีรัมย์,เขตเมืองบุรีรัมย์,A
EXL_1584358005148,55000,น่าน,เขตเมืองน่าน,C
EXL_1583764044155,10520,กรุงเทพมหานคร,เขตลาดกระบัง,A
EXL_1579963525708,10230,กรุงเทพมหานคร,เขตบึงกุ่ม,A
EXL_1575385025650,20000,ชลบุรี,เขตเมืองชลบุรี,A
EXL_1571758443977,10520,กรุงเทพมหานคร,เขตลาดกระบัง,A
EXL_1581603065392,10270,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1614808110622,76120,เพชรบุรี,เขตชะอำ,B
EXL_1584023610111,21130,ระยอง,เขตบ้านฉาง,A
EXL_1603299719692,21000,ระยอง,เขตเมืองระยอง,A
EXL_1639990027222,,เลย,เขตวังสะพุง,A
EXL_1579014017533,10280,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1576579211451,10540,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1702462309080,10520,กรุงเทพมหานคร,เขตลาดกระบัง,A
EXL_1594215409195,30000,นครราชสีมา,เขตเมืองนครราชสีมา,A
EXL_1583762653988,80240,นครศรีธรรมราช,เขตทุ่งใหญ่,D
EXL_1585137357423,10700,กรุงเทพมหานคร,เขตบางพลัด,B
EXL_1575044197740,20150,ชลบุรี,เขตบางละมุง,A
EXL_1572018336444,22150,จันทบุรี,เขตมะขาม,A
EXL_1576764656980,10230,กรุงเทพมหานคร,เขตบึงกุ่ม,A
EXL_1572601874856,10600,กรุงเทพมหานคร,เขตธนบุรี,A
EXL_1584460574493,40000,ขอนแก่น,เขตเมืองขอนแก่น,A
EXL_1571481907739,53110,อุตรดิตถ์,เขตน้ำปาด,C
EXL_1687361032667,10240,กรุงเทพมหานคร,เขตบางกะปิ,A
EXL_1637078959858,20130,ชลบุรี,เขตเมืองชลบุรี,A
EXL_1572090640295,40170,ขอนแก่น,เขตกระนวน,A
EXL_1583592745494,10520,กรุงเทพมหานคร,เขตลาดกระบัง,A
EXL_1580311631834,10310,กรุงเทพมหานคร,เขตวังทองหลาง,A
EXL_1583948406863,10540,สมุทรปราการ,เขตบางพลี,A
EXL_1621355047386,16130,สิงห์บุรี,เขตบางระจัน,A
EXL_1583336702502,10520,กรุงเทพมหานคร,เขตลาดกระบัง,A
EXL_1578588099058,90250,สงขลา,เขตหาดใหญ่,D
EXL_1592917902427,10240,กรุงเทพมหานคร,เขตบางกะปิ,A
EXL_1574933292187,10270,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1594292457376,30310,นครราชสีมา,เขตเมืองนครราชสีมา,A
EXL_1585218093564,30000,นครราชสีมา,เขตเมืองนครราชสีมา,A
EXL_1572353554178,50300,เชียงใหม่,เขตเมืองเชียงใหม่,C
EXL_1574088279034,35120,ยโสธร,เขตเลิงนกทา,A
EXL_1660569431880,70130,ราชบุรี,เขตดำเนินสะดวก,B
EXL_1681816660789,82000,พังงา,เขตเมืองพังงา,D
EXL_1678370228550,,ราชบุรี,เขตดำเนินสะดวก,B
EXL_1681999304687,10150,กรุงเทพมหานคร,เขตบางขุนเทียน,A
EXL_1613396460571,10310,กรุงเทพมหานคร,เขตห้วยขวาง,A
EXL_1574176986552,24130,ฉะเชิงเทรา,เขตบางปะกง,A
EXL_1576330859988,15000,ลพบุรี,เขตเมืองลพบุรี,A
EXL_1653597905069,82140,พังงา,เขตตะกั่วทุ่ง,D
EXL_1575034690143,25110,ปราจีนบุรี,เขตกบินทร์บุรี,A
EXL_1652977674531,50150,เชียงใหม่,เขตแม่แตง,C
EXL_1637318941720,83110,ภูเก็ต,เขตถลาง,D
EXL_1601291504747,66160,พิจิตร,เขตสากเหล็ก,C
EXL_1584105957455,64000,สุโขทัย,เขตเมืองสุโขทัย,C
EXL_1587984097528,10170,กรุงเทพมหานคร,เขตทวีวัฒนา,B
EXL_1679410712821,37000,อำนาจเจริญ,เขตเมืองอำนาจเจริญ,A
EXL_1581084249623,10540,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1587461522962,54110,แพร่,เขตเด่นชัย,C
EXL_1594652076186,82180,พังงา,เขตทับปุด,D
EXL_1574781784134,10510,กรุงเทพมหานคร,เขตมีนบุรี,A
EXL_1571478806309,53000,อุตรดิตถ์,เขตเมืองอุตรดิตถ์,C
EXL_1584195308976,51110,ลำพูน,เขตลี้,C
EXL_1590061407002,90000,สงขลา,เขตเมืองสงขลา,D
EXL_1597662932116,55160,น่าน,เขตเชียงกลาง,C
EXL_1679667761696,32140,สุรินทร์,เขตปราสาท,A
EXL_1571999201143,23000,ตราด,เขตเมืองตราด,A
EXL_1570872641048,22160,ระยอง,เขตแกลง,A
EXL_1574699918414,10280,สมุทรปราการ,เขตเมืองสมุทรปราการ,A
EXL_1624285755471,50150,เชียงใหม่,เขตแม่แตง,C
EXL_1573160818893,10120,กรุงเทพมหานคร,เขตสาทร,A
EXL_1647608348864,,สกลนคร,เขตอากาศอำนวย,A
EXL_1572513803318,20250,ชลบุรี,เขตสัตหีบ,A
EXL_1593094434077,30000,นครราชสีมา,เขตเมืองนครราชสีมา,A
EXL_1597413475899,57230,เชียงราย,เขตเทิง,C
EXL_1574418270884,31150,บุรีรัมย์,เขตแคนดง,A
EXL_1578574168962,66190,พิจิตร,เขตโพธิ์ประทับช้าง,C
EXL_1653908674256,13210,พระนครศรีอยุธยา,เขตอุทัย,A
EXL_1573042835521,23000,ตราด,เขตเมืองตราด,A
EXL_1571158467438,24180,ฉะเชิงเทรา,เขตบางปะกง,A
EXL_1658757307062,22000,จันทบุรี,เขตเมืองจันทบุรี,A
EXL_1675336461205,23000,ตราด,เขตเมืองตราด,A
EXL_1583935909873,80120,นครศรีธรรมราช,เขตสิชล,D
EXL_1579092267139,10900,กรุงเทพมหานคร,เขตจตุจักร,A
EXL_1574166456538,10240,กรุงเทพมหานคร,เขตบางกะปิ,A
EXL_1655726762571,10260,กรุงเทพมหานคร,เขตบางนา,A
EXL_1596631655024,47290,สกลนคร,เขตเจริญศิลป์,A
EXL_1581075480442,50220,เชียงใหม่,เขตดอยสะเก็ด,C
EXL_1575912280550,20130,ชลบุรี,เขตเมืองชลบุรี,A
EXL_1593010215642,84260,สุราษฎร์ธานี,เขตเคียนซา,D
EXL_1574762907842,12120,ปทุมธานี,เขตคลองหลวง,A
EXL_1638454754216,60000,นครสวรรค์,เขตเมืองนครสวรรค์,C
EXL_1596537723296,11110,นนทบุรี,เขตบางบัวทอง,A
EXL_1613553913103,50110,เชียงใหม่,เขตฝาง,C
EXL_1573832708348,10900,กรุงเทพมหานคร,เขตจตุจักร,A
EXL_1571827579043,64120,สุโขทัย,เขตศรีสำโรง,C
EXL_1583237646193,10520,กรุงเทพมหานคร,เขตลาดกระบัง,A
EXL_1703669603358,60000,นครสวรรค์,เขตเมืองนครสวรรค์,C
EXL_1601911006578,65000,พิษณุโลก,เขตเมืองพิษณุโลก,C
EXL_1611621711990,90110,สงขลา,เขตหาดใหญ่,D
EXL_1572529204724,62000,กำแพงเพชร,เขตเมืองกำแพงเพชร,C
EXL_1576834004816,25110,ปราจีนบุรี,เขตกบินทร์บุรี,A
EXL_1583409955239,22160,ระยอง,เขตนายายอาม,A
EXL_1661265377590,67160,เพชรบูรณ์,เขตบึงสามพัน,C
EXL_1620832125182,10310,กรุงเทพมหานคร,เขตห้วยขวาง,A
EXL_1703694418030,10520,กรุงเทพมหานคร,เขตลาดกระบัง,A
EXL_1613056469744,47170,สกลนคร,เขตอากาศอำนวย,A
EXL_1576852252905,10400,กรุงเทพมหานคร,เขตพญาไท,A
EXL_1593862805295,50220,เชียงใหม่,เขตดอยสะเก็ด,C
EXL_1573060221326,80000,นครศรีธรรมราช,เขตเมืองนครศรีธรรมราช,D
EXL_1600963171644,50240,เชียงใหม่,เขตจอมทอง,C
EXL_1649339222158,50120,เชียงใหม่,เขตสันป่าตอง,C
EXL_1573914236462,10230,กรุงเทพมหานคร,เขตบึงกุ่ม,A
EXL_1572350294254,24150,ฉะเชิงเทรา,เขตบางน้ำเปรี้ยว,A
EXL_1592230593397,53120,อุตรดิตถ์,เขตพิชัย,C
EXL_1571306912519,18220,ลพบุรี,เขตมวกเหล็ก,A
EXL_1687951701635,24000,ฉะเชิงเทรา,เขตเมืองฉะเชิงเทรา,A
EXL_1579699492209,10140,กรุงเทพมหานคร,เขตราษฎร์บูรณะ,A
EXL_1591020380404,92000,ตรัง,เขตเมืองตรัง,D
EXL_1583760406586,80240,นครศรีธรรมราช,เขตทุ่งใหญ่,D
EXL_1582798764841,84000,สุราษฎร์ธานี,เขตเมืองสุราษฎร์ธานี,D
EXL_1574158694676,62150,กำแพงเพชร,เขตไทรงาม,C
EXL_1570722860580,73000,นครปฐม,เขตเมืองนครปฐม,B
